Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,1418018.8060235202,1497665.29153656,1581131.7046630401,1668646.8431506401,1760439.50474704,1856758.3826562401,1937111.15686864,2019965.7847132802,2106257.3526372,2196960.73800008,2293205.00794808,2382515.7113685603,2476845.04364576,2575382.26493464,2677227.10583672,2781409.6628564,2890058.74981992,3001597.65181392,3116488.93819784,3235200.1521952003,3358228.680214,3477994.3533963202,3601704.30079408,3729209.3064848804,3860389.9977308004,3995127.00179392,4111122.4860036,4229963.02046704,4351186.0358248,4474343.88430968,4598894.41473696,4708433.8233708,4818977.9525488,4930118.9454164,5041538.4746724805,5152788.892549841,5296926.49972416,5442551.2922584005,5589548.87127872,5737829.70723168,5887244.58419488,6008402.9393196,6132217.33786304,6258712.6491456,6387978.4027207205,6520059.36336512,6582168.00413208,6645331.104084,6709578.50640536,6774920.15882432,6841385.90452536,6889801.49748008,6942972.10449528,7007637.31139936,7090322.82786528,7194395.9598752,7319220.0528268805,7463884.88959368,7630932.1147204805,7823077.45799496
Australia,1199696.016096,1250926.81612,1297681.1384720001,1347917.16568,1396163.647256,1438938.878344,1482823.28112184,1520594.8049453602,1552347.95323208,1565856.9680733602,1576709.93949592,1618624.6920980802,1641613.89187584,1660977.14473928,1682986.49329328,1742036.20765104,1808720.8033716,1838126.28781256,1879638.1574242401,1931505.6120504802,1994012.16194384,2062830.5453547202,2147177.33242336,2240586.49984576,2341685.2611358403,2432881.05904264,2534019.61124536,2639579.9286152003,2745000.9777908,2862225.0064282403,2961085.52888232,3055559.10321784,3135936.74675064,3202099.0867428,3258358.46335168,3359521.8848748,3493572.4956948804,3637123.1869077603,3770855.47042672,3899872.53079784,4034460.3189385603,4196284.986781361,4319860.639848961,4451802.33229912,4571851.515734,4654129.17534536,4715815.03766552,4767891.39458312,4812581.56334192,4855366.74215808,4908169.28323136,4985667.05946184,5057499.6045052,5140821.77557336,5250450.7137606405,5365152.99330952,5502600.75329624,5701764.2187876,5898346.24882144,6164930.441917201
Austria,1259710.66008528,1284637.1799222,1310518.68166248,1333798.85248892,1358802.46721908,1375144.09765392,1393268.85836144,1417063.82412016,1436412.1553913602,1457158.1424690401,1478162.77047888,1504777.91717096,1536958.81776856,1574705.4722716801,1617789.08293264,1662111.18574952,1708825.71718888,1762807.06404912,1810809.8262852002,1852804.16071264,1895708.7122667201,1936683.40455776,1972579.7816231202,1998001.200936,2025118.70790016,2054932.04919568,2077095.5875361601,2101711.24086808,2128609.89781272,2145530.98341288,2123949.38716976,2047023.60530848,1945178.7644064,1846353.05900088,1789660.95621704,1798479.61723088,1849208.0569828001,1909595.7407780802,1968486.29148528,2027859.3070082401,2104327.49337416,2207162.13322816,2307097.0103235203,2391105.57463472,2461878.68662904,2479346.897278,2484753.4875329603,2474382.9809261602,2455840.41563592,2433303.83748944,2410274.84679904,2392204.7985964003,2383082.73187368,2389688.02337192,2486956.9093204,2664200.5558112003,2808208.84251944,2917051.91018208,2990147.81670176,3074932.30380944
Belgium,1638972.77004936,1657410.88419392,1691461.9576856,1704334.3179246401,1723523.4855452802,1746263.99211904,1764771.74036072,1785443.1194772,1803826.52111688,1822831.65576656,1843920.8394657602,1878081.3379672002,1924895.3466881602,1969963.52911704,2014320.44898248,2058955.9052364002,2108217.0550847203,2158612.24594328,2208510.0503938403,2260198.4459132003,2301690.42006856,2350568.58238272,2405718.78730176,2440888.98021144,2469921.4248464,2497695.48186912,2510687.21484608,2528677.68122344,2566106.00842544,2597530.88168288,2594158.60183664,2540246.88907352,2446191.11932072,2338884.9756588,2285032.94926464,2332503.50804416,2429712.70762368,2519421.32017056,2602982.23671456,2689656.79217264,2790541.6773072802,2915420.4827638404,3048759.83102048,3177742.07434304,3282039.0302365604,3349902.43174408,3400407.0476124003,3449056.41217888,3481729.7253204,3498924.37344496,3510583.1108484804,3519536.0661924803,3533298.7481018403,3552373.51684864,3573084.68687776,3560873.8505613604,3500804.4940672,3440844.5625828,3427624.03185816,3455900.44915296
Brazil,2699708.97147832,2830576.3092872,2952431.00538312,3067163.12811648,3176836.83108048,3285953.46126752,3432309.41182152,3566832.5397292003,3700142.04480136,3844702.43042248,4008611.1473148004,4231465.1274192,4452374.32666832,4664052.034184961,4856157.5865468,5028561.663287761,5229426.19029448,5399094.641791441,5554801.456815841,5714576.89265768,6427386.3278265605,6679576.1582748005,6944812.43420488,7220896.70769344,7505685.243322,7873820.819339121,8164687.41687344,8457468.95207856,8753488.472799761,9053969.54960072,9363667.19654192,9680049.71680664,9992159.68782664,10295182.40917248,10589829.1434076,10877542.3111152,11159356.47602392,11480802.38992208,11838214.31498272,12231214.23753576,14992663.783839121,15973126.792880962,16729944.97742968,17317144.449122243,17871804.90200344,18415453.21981152,18970148.48974128,19394339.51394,19930860.284521442,20604953.161691602,21325113.96797072,21963892.41017288,22691439.4046108,23482612.068360083,24296042.77386736,25111492.868191123,25943505.92990128,26797239.8560488,27695022.3224888,28671098.38341208
Bulgaria,857986.5799359201,910983.1017083201,935981.7425744,955446.95965148,983750.73319872,995837.2229131201,1000251.52728412,1001002.5807602,999194.58116712,1007433.7870156401,1023894.7901884001,1046217.4921794401,1077707.02566992,1113374.6049876,1143322.24061328,1178422.79942584,1224326.5910201601,1272321.89246012,1331132.8613420401,1392811.26286608,1453935.0785452002,1520716.66461532,1581221.23421648,1625946.22002384,1669741.0932482402,1707035.12612008,1738392.85221244,1785950.4536133602,1786303.59796304,1786860.67074,1826300.92596236,1786611.977536,1668798.54600508,1565948.98455884,1543733.22064552,1611233.5300752001,1705234.58732312,1798243.35868708,1859426.86073516,1916409.9345676801,1984144.01560912,2076545.97555532,2198012.7102530003,2282160.54275844,2325400.83013792,2348899.85098388,2364659.53932136,2378874.842862,2407215.92038984,2439451.53349232,2457439.5129376403,2455457.4281017603,2448595.9826034,2436064.33205384,2418496.64412328,2399872.01007572,2390429.12911984,2382988.22845616,2375510.02381188,2372097.9530530004
Canada,2034897.3246814401,2114220.50902928,2186023.21088816,2253807.0305704,2309539.1775868,2357740.89438608,2403017.97910632,2473427.9990228,2531259.11668096,2585573.71243456,2629323.8208822403,2659808.6338285604,2703155.85928576,2737395.9396124803,2780156.24910824,2842757.30241912,2928631.06576032,3013828.38358664,3109515.5807576803,3224098.48756864,3335716.97138792,3454353.57742408,3579103.06241456,3711079.57191328,3852620.8220378403,3994808.6744928,4137180.5599187203,4306973.35801768,4475671.90601904,4666469.33212784,4857003.1434404,4996823.43659328,5122468.21711816,5223009.9056312805,5324611.02719344,5507430.37531792,5701634.898321521,5914630.67981936,6098638.78145896,6283094.5308657605,6467510.48935992,6675313.55675824,6879928.37728128,7090934.61314712,7271645.042901681,7421149.44941832,7564008.77352408,7671474.080836561,7777765.55622616,7853398.13342664,7950562.568229441,8056018.4344536,8154824.244402801,8271600.6252730405,8417424.37237048,8545252.67922648,8738482.3248704,8999401.28677904,9331914.0482552,9715195.040395921
Chile,464061.51866400003,481942.5600316,500191.66734112,518813.81445664004,537809.00137816,557187.17583384,581509.37118504,606488.1165948,632143.3075194401,658474.94395896,685502.9213696801,707358.0801372001,729551.46166216,752068.14435232,774937.97139216,798116.1780049601,819205.36170416,840408.9442772,861697.0825396001,883084.6980836,904546.9215888,935549.01639944,967078.3408025601,999119.9732059201,1031683.86133768,1064725.24042112,1097622.37744624,1131001.97928712,1164878.967536,1199228.47287248,1281819.48592088,1268021.98696296,1181710.52358272,1220745.40888256,1262814.3512712,1308305.31214688,1357889.7631604,1413950.18520608,1478968.5364598401,1555441.6966898402,1644056.0591391202,1744786.75448728,1854918.0529466402,1972480.3043415202,2093573.9992332002,2211036.77334648,2320436.91378608,2417855.01565696,2501405.9844728,2571428.0429910403,2630746.3460091203,2684812.24855872,2738236.522642,2793013.6877550404,2852003.71574384,2918345.11484288,2994499.94777176,3082059.85103608,3186625.39558992,3301317.72741064
China (People's Republic of),22814855.89402784,24410635.62840648,25288756.410138242,25487303.11648368,25164544.1024684,24422005.88169336,26346543.11016776,28265350.447222,30056200.15695416,31582504.95786336,32844553.334066242,34898908.41502864,36700536.48822216,38309029.41918928,39870429.80504696,41534038.12388456,44335616.80558536,47025338.257991046,49560919.66255752,51911179.865367286,54148085.70579384,57392855.572478965,60201885.10257161,62756879.498642325,65321373.975105844,68139341.53895025,71995240.13741681,75632308.61181968,79150511.68243873,82775478.74553497,86750715.26487297,91525848.60555656,96468864.7805324,101159029.60113737,105008467.15016401,107899978.26829529,111890792.92993185,114490840.5868392,116275134.74371393,118001468.4624644,120162547.74499136,122968921.23166528,125730127.05862872,128745024.82299256,132253464.19842257,136493444.58114672,142255228.4177877,147851705.88172984,153168861.08666736,158211016.32048577,163179289.77725986,169246279.86157778,175006914.73561624,180271595.67450976,184688008.96387967,188349066.3847404,192864638.6284092,196855090.19796792,201006869.04896146,206032764.72110233
Colombia,551954.67082168,583270.1190693601,612521.41372384,638295.9773864,659852.7043091201,678191.34117208,710387.16336192,738927.1954529601,763746.77721216,785412.92914464,805775.92868816,842000.5807828001,875414.99967224,907461.60593968,939766.85313928,973897.5084562401,1023700.80948928,1071723.46718168,1118477.78953368,1165013.26186616,1213115.50138384,1270066.24509984,1327071.7013207201,1386285.55319312,1449876.4054559201,1704831.7043326402,1798255.79334728,1881970.8996777602,1967506.44026152,2061686.55661632,2225829.0451204,2330106.1055576,2437660.94242352,2557511.1712952,2699127.02938096,2861906.67912712,3011132.5492552803,3162387.75592808,3316910.79130144,3478342.52388192,3644623.7739404,3807328.81572536,3947114.29182968,4067019.23320624,4165302.7874270403,4270748.70592304,4271181.432098,4344381.78976336,4472772.1432604,4639570.6751832,4841320.54999616,4942553.6056164,5092162.46327872,5258806.80541504,5441969.35016104,5631030.89770592,5817580.6438904,5981310.30167584,6133266.82318392,6284094.2775458405
