Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,17728969.54,18099927.872500002,18474116.7725,18852335.475,19235359.119999997,19624006.862499997,20002815.307499997,20380646.7125,20765998.1325,21167474.822499998,21593929.515,22033457.5425,22498167.1625,22978646.674999997,23465369.27,23948680.515,24428849.85,24908824.12,25392954.442500003,25885686.060000002,26391551.215,26810946.34,27238813.525,27672961.075,28111261.6425,28551585.677500002,29008166.259999998,29470086.915,29934144.689999998,30397084.2875,30855648.18,31325492.854999997,31795197.2275,32262160.86,32723783.1475,33177480.497500002,33644942.2275,34107206.53,34564104.435,35015460.025,35461079.61,35894313.0125,36338566.2025,36794170.5925,37261502.8625,37740913.1525,38237089.59,38744942.435,39264828.38,39797087.925,40342075.365,40951260.54,41572373.2125,42203413.7325,42842553.6125,43486768.129999995,44127467.6675,44779580.045,45442557.7325,46115948.53,46799088.807500005
Australia,9758285.75,9972508.75,10162389.0,10355617.0,10542246.25,10734613.0,10960669.1375,11130961.7675,11310499.765,11522486.322500002,11739742.6525,12266276.9475,12518591.96,12742200.697500002,12967877.395,13169853.01,13365217.9575,13537657.21,13738694.48,13941282.71,14174591.9325,14447560.575,14764213.055,15046189.6175,15322096.0325,15621308.965,15953254.6625,16275273.14,16602027.1875,16954197.405,17266061.025,17588986.3175,17897543.945,18180589.4925,18465896.6725,18773813.722499996,19117590.13,19467641.78,19800338.075000003,20156925.932499997,20518759.985,20927752.5875,21313260.3,21689365.41,22051503.03,22453697.7825,22859881.045,23393340.762500003,23941265.4425,24513052.215,25047925.67,25565354.340000004,26161729.625,26752410.5675,27309788.7675,27858101.417499997,28456395.01,29080172.46,29674595.7775,30299960.2275,30985056.9675
Austria,7788447.065,7852893.285,7913939.7875,7969704.615,8039081.2925,8112486.529999999,8185815.74,8260179.8125,8310782.2875,8340737.532500001,8356384.26,8364394.7225,8377770.61,8392567.274999999,8400286.3525,8400879.86,8410313.0275,8435098.59,8451847.0125,8459140.33,8465780.23,8470727.045,8459428.8675,8435852.96,8445257.5225,8484298.342500001,8529085.1675,8575058.075,8622517.157499999,8678531.31,8736983.8675,8797862.2575,8868742.7675,8933886.6975,8999462.709999999,9075911.7,9150885.594999999,9215042.785,9272027.85,9331199.195,9387619.352500001,9461068.5225,9545417.287500001,9619908.0,9744109.754999999,9898166.0125,10038443.4775,10156083.072500002,10259232.8125,10357147.1075,10448139.115,10537270.6,10656164.2025,10787855.8875,10951815.427499998,11127856.6425,11315403.1425,11461573.52,11595345.5425,11728229.809999999,11851384.9375
Belgium,10004400.254999999,10043078.29,10090635.079999998,10153888.835,10238421.6775,10338273.435,10422378.9925,10496091.0075,10548771.725,10582702.8625,10591203.1,10599962.105,10629575.815000001,10653810.8,10683650.3375,10724702.15,10764419.4775,10798391.8625,10843219.795,10897055.715,10937425.192499999,10979480.6375,11016439.805,11024195.5275,11043901.225,11095199.72,11155910.705000002,11204768.2,11284881.2325,11384791.0525,11467268.844999999,11551861.76,11634659.9025,11709874.677499998,11785288.07,11870257.217500001,11954627.5775,12038449.912500001,12123340.855,12212389.532499999,12302772.947500002,12407068.100000001,12523501.774999999,12636055.5475,12757488.64,12889133.6625,13021749.325,13164583.445,13317870.9775,13476599.48,13645912.2225,13821104.072500002,13980511.9675,14119446.1175,14262751.57,14403329.5125,14530267.7575,14656830.8,14788864.125,14931610.045,15045428.0175
Brazil,54635576.345,56275180.900000006,57978882.480000004,59724365.18,61474091.78,63204458.1525,64966116.754999995,66661749.89,68317628.19749999,69977226.67750001,71679384.39750001,73427415.5175,75216032.9625,77059525.1275,78967784.205,80948728.3725,83029796.26499999,85179036.30250001,87399610.1,89694556.58,95548476.10249999,97809631.2975,100166831.3275,102564081.4,104921209.6675,107189245.495,109385735.57,111520798.7875,113635298.975,115799453.5275,118063358.1725,120420515.58,122854301.2475,125332881.49249999,127821564.14500001,130300920.14750001,132791584.2425,135315799.9025,137886861.1525,140525535.525,144732631.3875,147773858.095,150715293.43,153613593.7375,156540845.805,159530854.8675,162569467.72250003,165677336.0325,168992776.6875,172517607.2975,176091291.96,179306044.4775,182684276.0675,186151777.23,189731958.355,193447654.9875,197146330.10500002,200872768.59,204724832.5375,208608745.085,212513033.0125
Bulgaria,7325678.6274999995,7457653.045,7561357.0,7653367.9125,7760199.3575,7879729.83,8000615.75,8111956.112500001,8225314.58,8350947.4799999995,8482661.355,8592185.05,8671214.885,8748781.807500001,8847236.524999999,8961735.77,9079731.2975,9194527.690000001,9267654.747499999,9343369.282499999,9446860.45,9514241.645,9545285.21,9564344.3825,9603512.235,9653007.355,9712094.8325,9785651.59,9847967.004999999,9819256.125,9751450.657499999,9723714.055,9675097.895,9643549.755,9651579.96,9662793.495,9660685.15,9643230.530000001,9627486.485,9633082.450000001,9651184.085,9595431.82,9533568.3625,9532495.41375,9533535.876249999,9533741.7275,9526648.9125,9519657.90625,9520409.935,9528377.45625,9534379.48125,9540202.372499999,9544089.95875,9549659.665,9560444.175,9562631.463750001,9554658.502500001,9537827.985,9521789.1075,9512005.295,9490663.37125
Canada,16599917.99,16954436.759999998,17275899.005,17587426.04,17899332.6675,18202723.7725,18549104.347499996,18863830.335,19151667.925,19450791.932499997,19756031.8975,20012620.0675,20317952.112499997,20642321.075,20995710.8725,21381586.7975,21782689.387500003,22186736.55,22570430.3175,22973533.97,23417681.9625,23861550.002499998,24302340.28,24706537.5125,25113641.735,25535972.520000003,25976419.200000003,26527002.2,27057675.9125,27694916.6575,28289752.5775,28813470.365000002,29326748.845,29815179.3825,30287221.18,30757143.8525,31244616.939999998,31732707.17,32200979.0025,32666828.25,33175165.5275,33741479.41,33782759.765,34355982.515,34939975.395,35536202.8275,36906425.0775,37591336.4075,38338549.650000006,39110858.2975,39899114.1725,40646932.275,41471056.230000004,42294798.39,43092825.4925,43811045.925,44669242.0575,45551518.4725,46489101.162499994,47460777.6575,48338900.8
Chile,6278639.324999999,6437216.7325,6595555.202500001,6753682.82,6911607.35,7069358.9399999995,7198224.4375,7326391.6975,7453877.887499999,7580708.137499999,7706905.21,7841742.529999999,7976200.9875,8110272.227499999,8243943.262499999,8377196.2575,8508447.545,8639680.46,8770901.5375,8902083.702499999,9033213.45,9228317.54,9424120.370000001,9620540.0425,9817558.120000001,10015095.425,10243532.032499999,10472939.395,10703265.997499999,10934430.45,11165336.58,11422818.879999999,11798750.955,12058180.6025,12308096.1875,12554476.094999999,12797841.0775,13043714.43,13293198.0,13545507.0525,13800621.469999999,14062056.96,14329299.0475,14599547.2425,14875527.66,15158153.115,15455022.57,15766513.21,16096742.200000001,16439234.295000002,16790187.552500002,17152674.7975,17518278.5875,17870279.86,18228411.3675,18601044.002499998,18994440.512500003,19429216.627499998,19938889.762500003,20464759.745,20995704.915
China (People's Republic of),520050111.84,525356407.5725,532755392.155,542254576.875,553349193.5625,565373855.45,582796878.5450001,600347115.62,617650044.1125,634479773.67,650885856.4875,667575798.85,682950791.2125,697139062.1175001,710268799.985,722554147.0450001,734277381.5274999,745627034.725,756985216.9124999,768788214.125,781309990.8125,794348451.9225,808822606.1075001,824983707.4075,843132204.5074999,863300301.37,886285817.895,910604616.1975,935083873.4225,958132847.4975,978797633.185,997752992.0325,1012401911.375,1024050763.8,1034879768.1575,1046803946.685,1059318414.8725,1075101013.8575,1093392478.3725,1112452234.73,1130629065.5125,1149235571.0749998,1166250030.7649999,1182276930.4175,1198583343.1125,1216348091.5149999,1236301504.7849998,1257344646.265,1279318973.0875,1301815395.9175,1324579198.2575002,1348721698.0325,1372839637.9875,1397179061.2325,1422151825.0025,1448018021.575,1476240989.1625,1505112238.03,1534120791.3275,1562495725.22,1589825815.3625002
Colombia,11995185.715,12370098.532499999,12750432.4025,13134218.74,13518082.695,13899829.0925,14301626.030000001,14693106.5475,15073486.1475,15442391.235,15801579.98,16153749.8275,16497535.0825,16843549.2575,17206409.8825,17596362.2775,18023998.7225,18487910.2875,18980419.14,19487847.095,19999637.6475,20537217.12,21061585.22,21578318.3525,22099431.785,24130128.0075,24720902.560000002,25335672.61,25967682.505000003,26613406.5175,27265945.299999997,27918568.045,28573181.895,29232291.1675,29872705.5875,30499233.802500002,31105132.0625,31692769.964999996,32269434.497500002,32854656.275,33469101.402499996,34065472.095,34676126.855,35308444.9775,35951042.1275,36615063.83,37199188.730000004,37858017.957499996,38571627.955,39334187.83,40133992.837500006,40918928.2925,41724866.8425,42540743.2425,43365989.057500005,44196308.5075,45055278.6275,45909320.495,46768369.945,47640314.485,48538296.0425
