Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,2805824.269640284,2963420.234584302,3128574.664592768,3301740.280229438,3483369.802058068,3673955.317647958,3832948.811288788,3996892.705876776,4167637.2506724903,4347111.428947587,4537549.318266686,4714267.806153703,4900916.621189192,5095891.557897238,5297411.259276974,5503556.583808131,5718539.801083914,5939241.075914964,6166575.691180178,6401468.77150984,6644904.49204255,6881884.023666044,7126668.064138636,7378961.360918746,7638527.71197311,7905130.915268464,8134650.39934137,8369799.365207069,8609662.52998666,8853354.136055406,9099801.432512233,9316546.32328611,9535279.247839961,9755193.182560131,9975658.255357917,10195788.708608579,10480992.822023472,10769139.61910278,11060002.739564624,11353405.031884056,11649051.243519496,11888786.46553107,12133777.18278277,12384072.60403152,12639849.880802274,12901197.588857504,13024091.538414486,13149071.9392653,13276197.841918262,13405488.929876145,13537004.253647262,13632803.861638587,13738012.183954926,13865964.793724313,14029574.068765176,14235502.874765841,14482491.467548896,14768738.806610707,15099274.026909517,15479470.724702083
Australia,2373830.4343032,2475200.473579,2567712.9366074,2667114.625606,2762579.6140502,2847218.6759698,2934052.4484484782,3008790.708473762,3071620.449321986,3098350.646086362,3119825.3476106143,3202761.786540436,3248250.361446528,3286564.2995922263,3330114.049475276,3446955.3219298683,3578903.68276197,3637088.116956002,3719227.374023558,3821857.157476766,3945538.447144628,4081708.919321324,4248605.339325112,4433433.430354192,4633476.869026029,4813925.380688339,5014047.553371262,5222919.04303634,5431514.96366261,5663465.3603278585,5859080.010875994,6046014.2367016785,6205056.9390994385,6335971.91603601,6447291.965963056,6647463.34740291,6912708.3890069965,7196751.175758342,7461366.345273724,7716651.534475178,7982959.485228952,8303160.866572462,8547679.179757632,8808751.318774054,9046291.83022655,9209094.081653763,9331151.482342934,9434194.619354354,9522622.755557565,9607281.500979936,9711761.533693712,9865105.862038977,10007240.43555559,10172109.454773862,10389031.49707269,10615992.125785233,10887959.083585959,11282042.49258417,11671018.032613048,12198506.38164849
Austria,2492581.006526676,2541902.9435976148,2593114.4969346663,2639178.814296839,2688653.298514261,2720988.372692964,2756851.714743548,2803934.6533741723,2842219.066265712,2883269.011296718,2924830.7273997962,2977493.939066282,3041170.070533702,3115859.121802056,3201108.3723075883,3288808.218908234,3381241.947925546,3488054.475717804,3583037.21834409,3666131.125296088,3751026.072751724,3832102.420669592,3903130.340422354,3953431.5317562004,4007088.7603126722,4066080.218120356,4109935.062296372,4158641.889905686,4211866.081401174,4245347.719616346,4202644.360352492,4050431.833416616,3848912.13203688,3653366.3737484463,3541190.0914508183,3558639.516658196,3659015.5390440105,3778504.2426214362,3895030.579031676,4012511.565326358,4163818.651134722,4367296.861040272,4565037.329887784,4731264.510797325,4871302.791268718,4905867.02213635,4916565.005892932,4896044.954253122,4859354.905086114,4814761.929556148,4769194.620638968,4733439.53785363,4715389.765811706,4728459.611652314,4920924.90175693,5271635.71239704,5556583.940275898,5771950.985855736,5916585.364224392,6084347.858350148
Belgium,3243024.391460562,3279507.763848464,3346884.3938370203,3372354.846423988,3410324.3232711763,3455320.810607968,3491941.967515274,3532844.28627549,3569219.399398146,3606824.731444052,3648553.7573206923,3716146.9058397403,3808777.469884772,3897953.5791933183,3985722.318053666,4074042.19499163,4171514.900718574,4271231.525761526,4369963.9756658785,4472239.45606919,4554339.346131202,4651054.237001424,4760179.576369392,4829770.600419798,4887216.90325988,4942173.242999304,4967879.897619536,5003477.512382698,5077536.691562348,5139716.8768190965,5133044.169379388,5026369.426106534,4840261.907397274,4627935.96299571,4521379.320739488,4615308.995967472,4807656.185055456,4985162.013053352,5150503.436338152,5322005.795990588,5521626.039352826,5768722.891401128,6032560.5625570165,6287776.859498768,6494148.544311802,6628429.400222386,6728362.543795831,6824624.714102296,6889275.1789569305,6923298.113498332,6946367.178747117,6964082.331241916,6991314.457326978,7029057.573892288,7070038.626663593,7045877.127010962,6927018.29552224,6808375.982564011,6782216.607380022,6838166.964009432
Brazil,5341895.975541694,5600842.29625874,5841955.363464355,6068975.042685216,6285985.660746517,6501894.002652585,6791487.5371856345,7057667.54517139,7321446.165818962,7607486.828101667,7931811.90327591,8372771.57412564,8809883.120183444,9228728.375668833,9608846.33945031,9949981.125991842,10347430.413964067,10683152.237243298,10991248.264382029,11307394.844154507,12717826.077033553,13216832.39755791,13741653.631967746,14287939.72615045,14851448.88525865,15579876.272342054,16155412.051643949,16734736.905229453,17320468.738967244,17915028.623698276,18527825.273747563,19153849.237659637,19771419.13713114,20371008.156820416,20954023.66717567,21523319.77609884,22080943.567878217,22716986.434701238,23424195.005796425,24201821.308058444,29665882.943554554,31605918.502017032,33103429.551159408,34265317.19453641,35362820.1003462,36438533.36858738,37536105.166656874,38375449.0918605,39437059.13036555,40770882.17045597,42195859.51188353,43459806.11713335,44899398.45936911,46464886.48533459,48074416.34875242,49687941.96323296,51334240.609828874,53023518.18472746,54799954.30990046,56731309.443640485
Bulgaria,1697692.272333614,1802556.133351444,1852020.7758174802,1890536.469866591,1946540.956128624,1970456.4119966042,1979190.966351679,1980677.070810965,1977099.5941821542,1993402.455353063,2025973.73156503,2070143.511785398,2132451.639810164,2203026.83899917,2262284.024094276,2331737.263625278,2422566.7871666723,2517534.767165879,2633903.635553943,2755946.273616036,2876891.55639859,3009031.831382719,3128751.816117716,3217248.844580628,3303905.4655343583,3377698.917426586,3439746.239039623,3533848.1449168622,3534546.909265268,3535649.1854205,3613689.353035787,3535157.0978512,3302040.453646711,3098532.718487003,3054574.535921434,3188136.94398084,3374136.203424854,3558172.0334673612,3679235.417266547,3791987.442020256,3926012.412394804,4108847.548768219,4349192.9593657255,4515695.709314073,4601254.974988264,4647752.329411421,4678935.918677962,4707063.64413915,4763141.943536578,4826926.334269244,4862519.028156713,4858597.090229392,4845020.394192405,4820224.101575378,4785463.035680026,4748610.597615149,4729926.0326088285,4715202.7725353725,4700405.699326521,4693654.257875725
Canada,4026437.643537548,4183393.894641476,4325469.417649772,4459592.80553818,4569869.62981831,4665246.042500036,4754835.505366794,4894155.33798701,5008585.381352033,5116057.306487152,5202625.351678408,5262945.445923202,5348716.309252192,5416466.925793416,5501076.462458858,5624944.745403054,5794862.583082344,5963441.9425731385,6152777.5557370065,6379501.982416288,6600360.725269514,6835106.179328387,7081947.145840652,7343088.177116776,7623154.896308178,7904501.043179761,8186211.334852625,8522179.201916507,8855981.88367547,9233511.466842428,9610519.43718593,9887180.910397775,10135793.392159522,10334734.554676127,10535772.010237949,10897515.424181765,11281786.607048135,11703239.926650813,12067335.519175882,12432316.869325692,12797219.485464415,13208398.016620109,13613267.985137377,14030784.604185654,14388355.115541806,14684178.478702195,14966853.262010887,15179494.142456802,15389812.369575623,15539466.041151138,15731724.654476648,15940389.46736262,16135895.85864551,16366960.49768602,16655500.964820767,16908433.975440968,17290776.17503568,17807054.76924247,18464995.53289934,19223391.052953113
Chile,918235.4043138,953616.50054647,989725.886381704,1026573.403570888,1064159.052114022,1102502.515513878,1150628.6797914181,1200053.95525191,1250817.708900898,1302919.940738382,1356400.017769906,1399644.6733599901,1443558.568044322,1488112.176568744,1533364.549441572,1579227.110900332,1620956.136776972,1662911.5229354901,1705034.2188675702,1747353.74982737,1789820.90705796,1851164.543446898,1913551.405482752,1976951.967911364,2041385.914235506,2106764.6686927043,2171858.012359708,2237906.005911154,2304938.1746012,2372905.3096729163,2536327.591437446,2509026.5730926823,2338242.661291424,2415480.726168752,2498722.25939154,2588734.917567896,2686847.3371349303,2797773.717006536,2926425.0911243283,3077742.018684078,3253082.661377054,3452397.810446326,3670313.869635138,3902933.5053946343,4142540.78463819,4374963.585369966,4591432.907105036,4784193.449751232,4949515.18953326,5088067.365545368,5205440.092574804,5312419.930140624,5418130.1817776505,5526517.389791668,5643240.5612296285,5774509.841216097,5925196.896687143,6098451.088086287,6305354.227474164,6532295.172683938
China (People's Republic of),45143601.83650993,48301160.45893447,50038692.14087861,50431555.17270496,49792914.08351603,48323658.70260286,52131727.56638785,55928458.732576154,59472001.002608225,62492090.04167312,64989296.67135121,69054235.24631079,72619104.59159632,75801818.73056348,78891351.16740799,82183121.7534834,87726586.63916177,93048720.37792037,98065858.24122684,102716302.28964233,107142452.82397088,113562857.12514739,119121064.95440197,124176615.17336799,129250963.13748129,134826856.5939765,142456497.20444807,149653140.12094116,156614584.86281163,163787282.79818258,171653056.54965845,181101580.75903082,190882293.60293484,200162691.17338017,207779547.3488013,213500960.94128993,221397559.05810672,226542255.86112714,230072826.70283246,233488711.61563674,237764824.65008572,243317776.98410016,248781356.37377837,254746914.29289952,261689039.67679927,270078660.3292977,281479463.2358568,292553175.53510207,303074194.76001245,313051073.3925422,322881762.64998436,334886475.1050911,346285004.56707996,356702193.31486803,365440920.5725307,372685030.25595844,381619962.6692524,389515842.33821803,397730939.21338856,407675645.1606375
Colombia,1092148.993055806,1154112.659782062,1211991.999683128,1262991.95536538,1305646.105872304,1341932.643232486,1405638.299954064,1462110.269406932,1511220.6088230722,1554091.277860488,1594383.4080347721,1666060.88337901,1732177.769190158,1795588.173370156,1859510.3486222262,1927044.446632958,2025589.903260976,2120612.012892806,2213124.475921206,2305203.901888622,2400383.479542628,2513071.532912328,2625867.845547274,2743033.895797604,2868860.687267614,3373339.021562588,3558196.6378458263,3723843.1554235923,3893091.754008634,4079445.316502544,4404232.95399193,4610565.27179942,4823383.303770284,5060530.1451673405,5340744.490629532,5662835.488239154,5958107.713321926,6257395.372970186,6563149.063279049,6882572.946263065,7211592.5368484305,7533535.908187262,7810128.489139406,8047383.589801708,8241856.597189068,8450501.726572268,8451357.958942851,8596199.014090613,8850244.14261743,9180287.27534694,9579488.395065872,9779797.56102513,10075827.600964624,10405565.639401168,10767988.134190619,11142082.946123865,11511207.67360718,11835178.445731528,12135853.792325214,12434295.061354278
